Method,Return,Seed,Step,Task
LWTA,-5.0,0,758,Pixelcopter-PLE-v0
LWTA,-4.0,0,768,Pixelcopter-PLE-v0
LWTA,-5.0,0,777,Pixelcopter-PLE-v0
LWTA,-5.0,0,783,Pixelcopter-PLE-v0
LWTA,-2.0,0,808,Pixelcopter-PLE-v0
LWTA,-4.0,0,821,Pixelcopter-PLE-v0
LWTA,-4.0,0,833,Pixelcopter-PLE-v0
LWTA,-5.0,0,837,Pixelcopter-PLE-v0
LWTA,-5.0,0,841,Pixelcopter-PLE-v0
LWTA,-5.0,0,846,Pixelcopter-PLE-v0
LWTA,-5.0,0,851,Pixelcopter-PLE-v0
LWTA,-5.0,0,860,Pixelcopter-PLE-v0
LWTA,-5.0,0,864,Pixelcopter-PLE-v0
LWTA,-3.0,0,881,Pixelcopter-PLE-v0
LWTA,-5.0,0,887,Pixelcopter-PLE-v0
LWTA,1.0,0,932,Pixelcopter-PLE-v0
LWTA,-2.0,0,957,Pixelcopter-PLE-v0
LWTA,-5.0,0,962,Pixelcopter-PLE-v0
LWTA,-1.0,0,992,Pixelcopter-PLE-v0
LWTA,-5.0,0,998,Pixelcopter-PLE-v0
LWTA,-2.0,0,1020,Pixelcopter-PLE-v0
LWTA,-5.0,0,1024,Pixelcopter-PLE-v0
LWTA,-5.0,0,1031,Pixelcopter-PLE-v0
LWTA,-5.0,0,1037,Pixelcopter-PLE-v0
LWTA,-5.0,0,1046,Pixelcopter-PLE-v0
LWTA,-5.0,0,1050,Pixelcopter-PLE-v0
LWTA,-5.0,0,1055,Pixelcopter-PLE-v0
LWTA,-4.0,0,1066,Pixelcopter-PLE-v0
LWTA,-5.0,0,1073,Pixelcopter-PLE-v0
LWTA,-4.0,0,1087,Pixelcopter-PLE-v0
LWTA,-5.0,0,1091,Pixelcopter-PLE-v0
LWTA,-5.0,0,1097,Pixelcopter-PLE-v0
LWTA,-5.0,0,1103,Pixelcopter-PLE-v0
LWTA,-5.0,0,1109,Pixelcopter-PLE-v0
LWTA,-5.0,0,1114,Pixelcopter-PLE-v0
LWTA,-5.0,0,1120,Pixelcopter-PLE-v0
LWTA,0.0,0,1156,Pixelcopter-PLE-v0
LWTA,-2.0,0,1179,Pixelcopter-PLE-v0
LWTA,-5.0,0,1185,Pixelcopter-PLE-v0
LWTA,5.0,0,1245,Pixelcopter-PLE-v0
LWTA,-4.0,0,1258,Pixelcopter-PLE-v0
LWTA,2.0,0,1309,Pixelcopter-PLE-v0
LWTA,-5.0,0,1315,Pixelcopter-PLE-v0
LWTA,-5.0,0,1321,Pixelcopter-PLE-v0
LWTA,-5.0,0,1327,Pixelcopter-PLE-v0
LWTA,-5.0,0,1333,Pixelcopter-PLE-v0
LWTA,-4.0,0,1345,Pixelcopter-PLE-v0
LWTA,-4.0,0,1355,Pixelcopter-PLE-v0
LWTA,-2.0,0,1379,Pixelcopter-PLE-v0
LWTA,2.0,0,1426,Pixelcopter-PLE-v0
LWTA,-5.0,0,1430,Pixelcopter-PLE-v0
LWTA,-3.0,0,1449,Pixelcopter-PLE-v0
LWTA,4.0,0,1514,Pixelcopter-PLE-v0
LWTA,8.0,0,1595,Pixelcopter-PLE-v0
LWTA,2.0,0,1648,Pixelcopter-PLE-v0
LWTA,-3.0,0,1664,Pixelcopter-PLE-v0
LWTA,-2.0,0,1687,Pixelcopter-PLE-v0
LWTA,-2.0,0,1712,Pixelcopter-PLE-v0
LWTA,2.0,0,1761,Pixelcopter-PLE-v0
LWTA,-1.0,0,1793,Pixelcopter-PLE-v0
LWTA,-3.0,0,1814,Pixelcopter-PLE-v0
LWTA,-1.0,0,1845,Pixelcopter-PLE-v0
LWTA,0.0,0,1882,Pixelcopter-PLE-v0
LWTA,2.0,0,1933,Pixelcopter-PLE-v0
LWTA,-2.0,0,1958,Pixelcopter-PLE-v0
LWTA,1.0,0,2004,Pixelcopter-PLE-v0
LWTA,-4.0,0,2019,Pixelcopter-PLE-v0
LWTA,4.0,0,2081,Pixelcopter-PLE-v0
LWTA,3.0,0,2136,Pixelcopter-PLE-v0
LWTA,3.0,0,2190,Pixelcopter-PLE-v0
LWTA,-1.0,0,2224,Pixelcopter-PLE-v0
LWTA,0.0,0,2260,Pixelcopter-PLE-v0
LWTA,-1.0,0,2291,Pixelcopter-PLE-v0
LWTA,-1.0,0,2322,Pixelcopter-PLE-v0
LWTA,-2.0,0,2345,Pixelcopter-PLE-v0
LWTA,-1.0,0,2377,Pixelcopter-PLE-v0
LWTA,1.0,0,2420,Pixelcopter-PLE-v0
LWTA,3.0,0,2478,Pixelcopter-PLE-v0
LWTA,-1.0,0,2510,Pixelcopter-PLE-v0
LWTA,-2.0,0,2534,Pixelcopter-PLE-v0
LWTA,-2.0,0,2558,Pixelcopter-PLE-v0
LWTA,7.0,0,2634,Pixelcopter-PLE-v0
LWTA,-1.0,0,2666,Pixelcopter-PLE-v0
LWTA,4.0,0,2728,Pixelcopter-PLE-v0
LWTA,-1.0,0,2762,Pixelcopter-PLE-v0
LWTA,2.0,0,2810,Pixelcopter-PLE-v0
LWTA,4.0,0,2875,Pixelcopter-PLE-v0
LWTA,1.0,0,2921,Pixelcopter-PLE-v0
LWTA,1.0,0,2965,Pixelcopter-PLE-v0
LWTA,1.0,0,3011,Pixelcopter-PLE-v0
LWTA,2.0,0,3061,Pixelcopter-PLE-v0
LWTA,-1.0,0,3092,Pixelcopter-PLE-v0
LWTA,3.0,0,3146,Pixelcopter-PLE-v0
LWTA,5.0,0,3210,Pixelcopter-PLE-v0
LWTA,-2.0,0,3235,Pixelcopter-PLE-v0
LWTA,6.0,0,3310,Pixelcopter-PLE-v0
LWTA,15.0,0,3433,Pixelcopter-PLE-v0
LWTA,1.0,0,3477,Pixelcopter-PLE-v0
LWTA,-2.0,0,3502,Pixelcopter-PLE-v0
LWTA,1.0,0,3543,Pixelcopter-PLE-v0
LWTA,6.0,0,3615,Pixelcopter-PLE-v0
LWTA,3.0,0,3671,Pixelcopter-PLE-v0
LWTA,7.0,0,3754,Pixelcopter-PLE-v0
LWTA,6.0,0,3829,Pixelcopter-PLE-v0
LWTA,-1.0,0,3860,Pixelcopter-PLE-v0
LWTA,-3.0,0,3880,Pixelcopter-PLE-v0
LWTA,-2.0,0,3902,Pixelcopter-PLE-v0
LWTA,6.0,0,3977,Pixelcopter-PLE-v0
LWTA,5.0,0,4045,Pixelcopter-PLE-v0
LWTA,-2.0,0,4070,Pixelcopter-PLE-v0
LWTA,4.0,0,4132,Pixelcopter-PLE-v0
LWTA,6.0,0,4200,Pixelcopter-PLE-v0
LWTA,-3.0,0,4221,Pixelcopter-PLE-v0
LWTA,0.0,0,4258,Pixelcopter-PLE-v0
LWTA,-2.0,0,4283,Pixelcopter-PLE-v0
LWTA,-2.0,0,4309,Pixelcopter-PLE-v0
LWTA,-2.0,0,4332,Pixelcopter-PLE-v0
LWTA,12.0,0,4440,Pixelcopter-PLE-v0
LWTA,-3.0,0,4459,Pixelcopter-PLE-v0
LWTA,0.0,0,4496,Pixelcopter-PLE-v0
LWTA,3.0,0,4555,Pixelcopter-PLE-v0
LWTA,-3.0,0,4575,Pixelcopter-PLE-v0
LWTA,9.0,0,4660,Pixelcopter-PLE-v0
LWTA,6.0,0,4735,Pixelcopter-PLE-v0
LWTA,14.0,0,4854,Pixelcopter-PLE-v0
LWTA,-1.0,0,4884,Pixelcopter-PLE-v0
LWTA,-1.0,0,4918,Pixelcopter-PLE-v0
LWTA,-2.0,0,4940,Pixelcopter-PLE-v0
LWTA,-1.0,0,4972,Pixelcopter-PLE-v0
LWTA,-3.0,0,4993,Pixelcopter-PLE-v0
LWTA,-2.0,0,5016,Pixelcopter-PLE-v0
LWTA,-3.0,0,5035,Pixelcopter-PLE-v0
LWTA,-1.0,0,5069,Pixelcopter-PLE-v0
LWTA,-3.0,0,5088,Pixelcopter-PLE-v0
LWTA,-3.0,0,5108,Pixelcopter-PLE-v0
LWTA,-3.0,0,5127,Pixelcopter-PLE-v0
LWTA,8.0,0,5209,Pixelcopter-PLE-v0
LWTA,4.0,0,5271,Pixelcopter-PLE-v0
LWTA,2.0,0,5319,Pixelcopter-PLE-v0
LWTA,3.0,0,5378,Pixelcopter-PLE-v0
LWTA,6.0,0,5455,Pixelcopter-PLE-v0
LWTA,2.0,0,5502,Pixelcopter-PLE-v0
LWTA,-1.0,0,5534,Pixelcopter-PLE-v0
LWTA,1.0,0,5575,Pixelcopter-PLE-v0
LWTA,0.0,0,5611,Pixelcopter-PLE-v0
LWTA,-1.0,0,5644,Pixelcopter-PLE-v0
LWTA,1.0,0,5689,Pixelcopter-PLE-v0
LWTA,0.0,0,5725,Pixelcopter-PLE-v0
