Method,Return,Seed,Step,Task
Elephant,-5.0,0,88,Pixelcopter-PLE-v0
Elephant,-5.0,0,93,Pixelcopter-PLE-v0
Elephant,-4.0,0,104,Pixelcopter-PLE-v0
Elephant,-5.0,0,111,Pixelcopter-PLE-v0
Elephant,-5.0,0,115,Pixelcopter-PLE-v0
Elephant,-5.0,0,121,Pixelcopter-PLE-v0
Elephant,-5.0,0,125,Pixelcopter-PLE-v0
Elephant,-5.0,0,133,Pixelcopter-PLE-v0
Elephant,-5.0,0,139,Pixelcopter-PLE-v0
Elephant,-5.0,0,143,Pixelcopter-PLE-v0
Elephant,-5.0,0,147,Pixelcopter-PLE-v0
Elephant,-5.0,0,155,Pixelcopter-PLE-v0
Elephant,-5.0,0,164,Pixelcopter-PLE-v0
Elephant,-5.0,0,171,Pixelcopter-PLE-v0
Elephant,-5.0,0,177,Pixelcopter-PLE-v0
Elephant,-5.0,0,182,Pixelcopter-PLE-v0
Elephant,-4.0,0,194,Pixelcopter-PLE-v0
Elephant,-5.0,0,200,Pixelcopter-PLE-v0
Elephant,-5.0,0,209,Pixelcopter-PLE-v0
Elephant,-5.0,0,218,Pixelcopter-PLE-v0
Elephant,-5.0,0,224,Pixelcopter-PLE-v0
Elephant,-5.0,0,229,Pixelcopter-PLE-v0
Elephant,-5.0,0,234,Pixelcopter-PLE-v0
Elephant,-5.0,0,241,Pixelcopter-PLE-v0
Elephant,-5.0,0,247,Pixelcopter-PLE-v0
Elephant,-5.0,0,251,Pixelcopter-PLE-v0
Elephant,-5.0,0,255,Pixelcopter-PLE-v0
Elephant,-5.0,0,259,Pixelcopter-PLE-v0
Elephant,-5.0,0,265,Pixelcopter-PLE-v0
Elephant,-5.0,0,270,Pixelcopter-PLE-v0
Elephant,-4.0,0,285,Pixelcopter-PLE-v0
Elephant,-5.0,0,291,Pixelcopter-PLE-v0
Elephant,-2.0,0,316,Pixelcopter-PLE-v0
Elephant,-5.0,0,320,Pixelcopter-PLE-v0
Elephant,-5.0,0,326,Pixelcopter-PLE-v0
Elephant,-5.0,0,331,Pixelcopter-PLE-v0
Elephant,-5.0,0,336,Pixelcopter-PLE-v0
Elephant,-5.0,0,342,Pixelcopter-PLE-v0
Elephant,-5.0,0,347,Pixelcopter-PLE-v0
Elephant,-5.0,0,352,Pixelcopter-PLE-v0
Elephant,-5.0,0,357,Pixelcopter-PLE-v0
Elephant,-5.0,0,364,Pixelcopter-PLE-v0
Elephant,-5.0,0,370,Pixelcopter-PLE-v0
Elephant,-5.0,0,374,Pixelcopter-PLE-v0
Elephant,-5.0,0,379,Pixelcopter-PLE-v0
Elephant,-5.0,0,383,Pixelcopter-PLE-v0
Elephant,-5.0,0,388,Pixelcopter-PLE-v0
Elephant,-5.0,0,394,Pixelcopter-PLE-v0
Elephant,-5.0,0,401,Pixelcopter-PLE-v0
Elephant,-3.0,0,418,Pixelcopter-PLE-v0
Elephant,-4.0,0,430,Pixelcopter-PLE-v0
Elephant,-5.0,0,435,Pixelcopter-PLE-v0
Elephant,-4.0,0,448,Pixelcopter-PLE-v0
Elephant,-5.0,0,452,Pixelcopter-PLE-v0
Elephant,-4.0,0,467,Pixelcopter-PLE-v0
Elephant,-5.0,0,471,Pixelcopter-PLE-v0
Elephant,-5.0,0,476,Pixelcopter-PLE-v0
Elephant,-5.0,0,482,Pixelcopter-PLE-v0
Elephant,-5.0,0,486,Pixelcopter-PLE-v0
Elephant,-5.0,0,491,Pixelcopter-PLE-v0
Elephant,-5.0,0,497,Pixelcopter-PLE-v0
Elephant,0.0,0,532,Pixelcopter-PLE-v0
Elephant,-5.0,0,538,Pixelcopter-PLE-v0
Elephant,-5.0,0,544,Pixelcopter-PLE-v0
Elephant,-2.0,0,567,Pixelcopter-PLE-v0
Elephant,-5.0,0,574,Pixelcopter-PLE-v0
Elephant,-3.0,0,595,Pixelcopter-PLE-v0
