Method,Return,Seed,Step,Task
ReLU,-146.0,0,46269,MountainCar-v0
ReLU,-178.0,0,46447,MountainCar-v0
ReLU,-162.0,0,46609,MountainCar-v0
ReLU,-156.0,0,46765,MountainCar-v0
ReLU,-141.0,0,46906,MountainCar-v0
ReLU,-151.0,0,47057,MountainCar-v0
ReLU,-146.0,0,47203,MountainCar-v0
ReLU,-166.0,0,47369,MountainCar-v0
ReLU,-145.0,0,47514,MountainCar-v0
ReLU,-149.0,0,47663,MountainCar-v0
ReLU,-105.0,0,47768,MountainCar-v0
ReLU,-128.0,0,47896,MountainCar-v0
ReLU,-111.0,0,48007,MountainCar-v0
ReLU,-156.0,0,48163,MountainCar-v0
ReLU,-158.0,0,48321,MountainCar-v0
ReLU,-111.0,0,48432,MountainCar-v0
ReLU,-137.0,0,48569,MountainCar-v0
ReLU,-86.0,0,48655,MountainCar-v0
ReLU,-172.0,0,48827,MountainCar-v0
ReLU,-112.0,0,48939,MountainCar-v0
ReLU,-160.0,0,49099,MountainCar-v0
ReLU,-87.0,0,49186,MountainCar-v0
ReLU,-145.0,0,49331,MountainCar-v0
ReLU,-214.0,0,49545,MountainCar-v0
ReLU,-95.0,0,49640,MountainCar-v0
ReLU,-169.0,0,49809,MountainCar-v0
ReLU,-152.0,0,49961,MountainCar-v0
ReLU,-5.0,0,8,Pixelcopter-PLE-v0
ReLU,-5.0,0,15,Pixelcopter-PLE-v0
ReLU,-5.0,0,21,Pixelcopter-PLE-v0
ReLU,-5.0,0,30,Pixelcopter-PLE-v0
ReLU,-5.0,0,34,Pixelcopter-PLE-v0
ReLU,-5.0,0,43,Pixelcopter-PLE-v0
ReLU,-5.0,0,48,Pixelcopter-PLE-v0
ReLU,-5.0,0,57,Pixelcopter-PLE-v0
ReLU,-5.0,0,63,Pixelcopter-PLE-v0
ReLU,-4.0,0,74,Pixelcopter-PLE-v0
ReLU,-5.0,0,79,Pixelcopter-PLE-v0
ReLU,-5.0,0,83,Pixelcopter-PLE-v0
ReLU,-3.0,0,99,Pixelcopter-PLE-v0
ReLU,-5.0,0,104,Pixelcopter-PLE-v0
ReLU,-5.0,0,109,Pixelcopter-PLE-v0
ReLU,-5.0,0,114,Pixelcopter-PLE-v0
ReLU,-5.0,0,121,Pixelcopter-PLE-v0
ReLU,-5.0,0,125,Pixelcopter-PLE-v0
ReLU,-5.0,0,133,Pixelcopter-PLE-v0
ReLU,-5.0,0,142,Pixelcopter-PLE-v0
ReLU,-4.0,0,152,Pixelcopter-PLE-v0
ReLU,-5.0,0,157,Pixelcopter-PLE-v0
ReLU,-5.0,0,163,Pixelcopter-PLE-v0
ReLU,-5.0,0,172,Pixelcopter-PLE-v0
ReLU,-5.0,0,178,Pixelcopter-PLE-v0
ReLU,-2.0,0,203,Pixelcopter-PLE-v0
ReLU,-5.0,0,212,Pixelcopter-PLE-v0
ReLU,-5.0,0,218,Pixelcopter-PLE-v0
ReLU,-4.0,0,229,Pixelcopter-PLE-v0
ReLU,-5.0,0,234,Pixelcopter-PLE-v0
ReLU,-3.0,0,252,Pixelcopter-PLE-v0
ReLU,-4.0,0,264,Pixelcopter-PLE-v0
ReLU,-4.0,0,275,Pixelcopter-PLE-v0
ReLU,-5.0,0,282,Pixelcopter-PLE-v0
ReLU,-5.0,0,291,Pixelcopter-PLE-v0
ReLU,-5.0,0,296,Pixelcopter-PLE-v0
ReLU,-5.0,0,303,Pixelcopter-PLE-v0
ReLU,-5.0,0,309,Pixelcopter-PLE-v0
ReLU,-4.0,0,320,Pixelcopter-PLE-v0
ReLU,-3.0,0,336,Pixelcopter-PLE-v0
ReLU,-4.0,0,347,Pixelcopter-PLE-v0
ReLU,-5.0,0,354,Pixelcopter-PLE-v0
ReLU,-4.0,0,366,Pixelcopter-PLE-v0
